//======================================
// NORMAL DROP
//======================================

0
//EventName  DropZen  ItemDropRate  ItemDropCount  ItemDropType  Fireworks
"EventName"  1000  100  1  1  0
end

1
//Item  MinLvl  MaxLvl  Skill  Luck  Opt  Exce  Comment
end

//======================================
//ADVANCED DROP
//======================================

2
//Index  DropRate
0  10000
end

3
//Index  Section  SectionRate  MoneyAmount  OptionValue  DW  DK  FE  MG
0  4  5000  0  0  1  1  1  1
0  99  5000  20000  0  1  1  1  1
end

4
//ItemType  ItemIndex  ItemLevel  ItemGrade  LevelRate  SkillRate  LuckRate  OptionRate  ExcellentRate  Comment
4  3  0  0  24  5  7  13  5  //Battle Bow
4  4  0  0  24  5  7  13  5  //Tiger Bow
4  5  0  0  24  5  7  13  5  //Silver Bow
4  8  0  0  24  5  7  13  5  //Crossbow
4  9  0  0  24  5  7  13  5  //Golden Crossbow
4  10  0  0  24  5  7  13  5  //Arquebus
4  11  0  0  24  5  7  13  5  //Light Crossbow
4  12  0  0  24  5  7  13  5  //Serpent Crossbow
6  0  0  0  24  5  7  13  5  //Small Shield
6  1  0  0  24  5  7  13  5  //Horn Shield
6  3  0  0  24  5  7  13  5  //Elven Shield
6  4  0  0  24  5  7  13  5  //Buckler
7  0  0  0  24  5  7  13  5  //Bronze Helm
7  5  0  0  24  5  7  13  5  //Leather Helm
7  8  0  0  24  5  7  13  5  //Brass Helm
7  11  0  0  24  5  7  13  5  //Silk Helm
7  13  0  0  24  5  7  13  5  //Spirit Helm
8  0  0  0  24  5  7  13  5  //Bronze Armor
8  5  0  0  24  5  7  13  5  //Leather Armor
8  8  0  0  24  5  7  13  5  //Brass Armor
8  11  0  0  24  5  7  13  5  //Silk Armor
8  13  0  0  24  5  7  13  5  //Spirit Armor
9  0  0  0  24  5  7  13  5  //Bronze Pants
9  5  0  0  24  5  7  13  5  //Leather Pants
9  8  0  0  24  5  7  13  5  //Brass Pants
9  11  0  0  24  5  7  13  5  //Silk Pants
9  13  0  0  24  5  7  13  5  //Spirit Pants
10  0  0  0  24  5  7  13  5  //Bronze Gloves
10  5  0  0  24  5  7  13  5  //Leather Gloves
10  8  0  0  24  5  7  13  5  //Brass Gloves
10  11  0  0  24  5  7  13  5  //Silk Gloves
10  13  0  0  24  5  7  13  5  //Spirit Gloves
11  0  0  0  24  5  7  13  5  //Bronze Boots
11  5  0  0  24  5  7  13  5  //Leather Boots
11  8  0  0  24  5  7  13  5  //Brass Boots
11  11  0  0  24  5  7  13  5  //Silk Boots
11  13  0  0  24  5  7  13  5  //Spirit Boots
end

